Date,Time,Author,Content
2023-12-12,12:49:48,Lorenzo Leppy,🪚
2023-12-12,13:17:55,Lally,🧹
2023-12-12,13:18:52,Lally,🧹
2023-12-12,13:18:57,Lally,🪚
2023-12-12,13:18:59,Lally,🧹
2023-12-12,14:36:15,Lorenzo Leppy,🧹
2023-12-12,14:54:19,Leocacca,🧹
2023-12-12,15:04:46,Antonio Rocchia,🧹
2023-12-12,20:03:38,Agormitino,🪚
2023-12-12,22:25:23,Merk🥵,🪚
2023-12-13,21:17:25,Merk🥵,🧹
2023-12-13,21:17:26,Lally,🧹
2023-12-13,23:05:00,Lally,🧹
2023-12-13,23:05:01,Merk🥵,🧹
2024-01-01,06:31:29,Mario Ollare,🧹
2024-01-01,11:49:02,Lorenzo Leppy,🧹
2024-01-01,15:32:47,Mario Ollare,🧹
2024-01-01,16:27:02,Merk🥵,🪚
2024-01-01,16:59:12,Gibbo Rasia,🪚
2024-01-01,22:07:57,Merk🥵,🧹
2024-01-02,04:19:37,Leocacca,🪚
2024-01-02,04:55:40,Antonio Rocchia,🪚
2024-01-02,08:08:17,Gibbo Rasia,🪚
2024-01-02,10:22:48,Frappolino,🪚
2024-01-02,10:22:53,Frappolino,🪚
2024-01-02,10:22:56,Frappolino,🪚
2024-01-02,10:22:58,Frappolino,🪚
2024-01-02,10:22:59,Frappolino,🪚
2024-01-02,10:48:47,Gibbo Rasia,🪚
2024-01-02,12:26:07,Agormitino,🪚
2024-01-03,00:44:29,Gibbo Rasia,🪚
2024-01-03,01:06:38,Lorenzo Leppy,🧹
2024-01-03,02:22:57,Merk🥵,🧹
2024-01-03,03:32:03,Mario Ollare,🧹
2024-01-03,05:01:09,Mario Ollare,🧹
2024-01-03,06:10:50,Agormitino,🪚
2024-01-03,11:55:57,Gibbo Rasia,🪚
2024-01-03,11:56:32,Antonio Rocchia,🪚
2024-01-03,15:34:23,Leocacca,🪚
2024-01-03,15:46:30,Frappolino,🪚
2024-01-03,16:46:48,Mario Ollare,🪚
2024-01-03,18:40:17,Agormitino,🪚
2024-01-03,19:27:13,Gibbo Rasia,🪚
2024-01-03,19:46:14,Antonio Rocchia,🪚
2024-01-03,23:06:04,Gibbo Rasia,🪚
2024-01-04,08:52:48,Lorenzo Leppy,🧹
2024-01-04,14:55:42,Frappolino,🪚
2024-01-04,15:11:37,Mario Ollare,🧹
2024-01-04,18:25:08,Leocacca,🧹
2024-01-04,18:29:17,Frappolino,🪚
2024-01-04,19:17:14,Leocacca,🧹
2024-01-04,20:31:00,Gibbo Rasia,🪚
2024-01-05,04:28:02,Lally,👄
2024-01-05,04:46:17,Leocacca,🧹
2024-01-05,04:47:54,Lorenzo Leppy,🧹
2024-01-05,05:44:06,Mario Ollare,🧹
2024-01-05,11:47:24,Leocacca,🧹
2024-01-05,12:24:21,Antonio Rocchia,🪚
2024-01-05,12:29:49,Lally,🧹
2024-01-05,12:31:31,Frappolino,🪚
2024-01-05,13:32:35,Lorenzo Leppy,🧹
2024-01-05,14:59:34,Gibbo Rasia,🪚
2024-01-05,16:08:28,Lally,🪚
2024-01-05,16:45:14,Agormitino,👄
